"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"CONTINENT","EUROPE","WESTERN EUROPE","FRANCE","","","a4ab3fe4-b9c7-4aad-9eaa-ba63f38059e6"
"CONTINENT","SOUTH AMERICA","FRENCH GUIANA","","","","146ee1c3-67c3-45a0-ad64-c67f12032351"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","FRENCH POLYNESIA","","9e683aa3-89a7-46fe-a4bb-d558719a9aa2"
"OCEAN","INDIAN OCEAN","FRENCH SOUTHERN TERRITORIES","","","","d582a87a-8969-45bf-947a-2864d2d0fcd7"
"CONTINENT","AFRICA","CENTRAL AFRICA","GABON","","","864e3511-3326-4b8f-a534-1a8945fcc3eb"
"OCEAN","PACIFIC OCEAN","EASTERN PACIFIC OCEAN","GALAPAGOS ISLANDS","","","2ed1cf61-0636-4a43-9acd-037c563a1a8b"
"CONTINENT","AFRICA","WESTERN AFRICA","GAMBIA","","","2ffc8cf6-f9fb-4f0e-858a-53766c4ba4b8"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MICHIGAN","GAYLORD","","b4d4394b-729e-4b18-ac41-5b03b23a44bc"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","GAZA STRIP","","302ab5f2-5fa2-482d-9d22-8a7a1546a62d"
"GEOGRAPHIC REGION","","","","","","204270d9-8039-4768-851e-63635af5fb65"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","GEORGES BANK","","","7a1f45ea-4804-4ae0-8949-e4f33223d39d"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","GEORGIA","","","a94fb5d3-6a0a-44a1-ac31-5e8978b5f0b1"
"CONTINENT","ASIA","WESTERN ASIA","GEORGIA","","","d79e134c-a4d0-44f2-9706-cad2b59de992"
"CONTINENT","NORTH AMERICA","CANADA","GEORGIAN BAY","","","0b5164a2-ce21-4b36-9502-5e1d05a2e3ae"
"CONTINENT","EUROPE","WESTERN EUROPE","GERMANY","","","953ea5cb-cd34-4ffc-a18b-f93173f2c7f6"
"CONTINENT","AFRICA","WESTERN AFRICA","GHANA","","","4169d7ae-fa7e-4264-888c-c15b14c574cb"
"CONTINENT","EUROPE","SOUTHERN EUROPE","SPAIN","GIBRALTAR","","1dd688e9-3c50-4be0-907a-423d2371dc3e"
